profile,detector_jitter_ps,frequency_detuning_ghz,gate_label,full_erasure_probability,model,distance,shots,failures_any,failures_a,failures_b,failures_both,logical_error_rate_any,logical_error_rate_a,logical_error_rate_b,logical_error_rate_both,any_ci_low,any_ci_high,failure_phi,seed,channel_name,decoder_channel_name,model_label
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,full_correlated,7,20000,6818,3786,3727,695,0.3409,0.1893,0.18635,0.03475,0.33436176497322884,0.34749934089982365,-0.003448595414354313,20271071,idea2_j15_d0.6_220_ps,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
low_error_moderate,15.0,0.6,220_ps,0.021749059393722316,matched_independent,7,20000,6568,3623,3617,672,0.3284,0.18115,0.18085,0.0336,0.32192485852746733,0.3349410482469879,0.0056599329608895185,20271072,idea2_j15_d0.6_220_ps__independent,idea2_j15_d0.6_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,full_correlated,3,20000,13958,8995,8974,4011,0.6979,0.44975,0.4487,0.20055,0.6914988616568951,0.7042251304720986,-0.005063522783887873,20272031,idea2_j15_d1.2_no_filter,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,matched_independent,3,20000,14033,9067,9056,4090,0.70165,0.45335,0.4528,0.2045,0.6952707866169043,0.7079517652416687,-0.0031351346749637337,20272032,idea2_j15_d1.2_no_filter__independent,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,full_correlated,5,20000,15053,10137,9953,5037,0.75265,0.50685,0.49765,0.25185,0.7466220742468654,0.758580889933985,-0.0015357710922948486,20272051,idea2_j15_d1.2_no_filter,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,matched_independent,5,20000,14903,9938,9911,4946,0.74515,0.4969,0.49555,0.2473,0.7390638705237071,0.7511419741979848,0.0042450697171082215,20272052,idea2_j15_d1.2_no_filter__independent,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,full_correlated,7,20000,15008,9995,9974,4961,0.7504,0.49975,0.4987,0.24805,0.7443543617683184,0.7563494665747843,-0.0047013164781391,20272071,idea2_j15_d1.2_no_filter,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_open,15.0,1.2,no_filter,0.009974999999999956,matched_independent,7,20000,15002,10019,10042,5059,0.7501,0.50095,0.5021,0.25295,0.7440520164903565,0.7560519270743801,0.005692080478495165,20272072,idea2_j15_d1.2_no_filter__independent,idea2_j15_d1.2_no_filter__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,full_correlated,3,20000,14038,9107,9101,4170,0.7019,0.45535,0.45505,0.2085,0.6955222663015737,0.7082001895389711,0.005213787597877927,20273031,idea2_j15_d1.2_220_ps,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,matched_independent,3,20000,13986,8965,9090,4069,0.6993,0.44825,0.4545,0.20345,0.6929069878341413,0.7056164665938954,-0.001129224665541802,20273032,idea2_j15_d1.2_220_ps__independent,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,full_correlated,5,20000,14998,10105,9955,5062,0.7499,0.50525,0.49775,0.2531,0.7438504551057727,0.7558535652733862,0.006447670717042762,20273051,idea2_j15_d1.2_220_ps,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,matched_independent,5,20000,14930,9837,9989,4896,0.7465,0.49185,0.49945,0.2448,0.7404241714304092,0.7524811547939314,-0.0034183862135336255,20273052,idea2_j15_d1.2_220_ps__independent,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,full_correlated,7,20000,14951,9984,9966,4999,0.74755,0.4992,0.4983,0.24995,0.7414822362373834,0.7535226867112392,0.0047945938498809735,20273071,idea2_j15_d1.2_220_ps,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_moderate,15.0,1.2,220_ps,0.021749059393722316,matched_independent,7,20000,14960,10059,10000,5099,0.748,0.50295,0.5,0.25495,0.7419357068300225,0.7539690432861497,0.013900241935816364,20273072,idea2_j15_d1.2_220_ps__independent,idea2_j15_d1.2_220_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,full_correlated,3,20000,14453,9538,9461,4546,0.72265,0.4769,0.47305,0.2273,0.716403128856398,0.7288113574878187,0.0068270234125313994,20274031,idea2_j15_d1.2_140_ps,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,matched_independent,3,20000,14587,9522,9513,4448,0.72935,0.4761,0.47565,0.2224,0.7231488805905293,0.7354630324705356,-0.016265730947436607,20274032,idea2_j15_d1.2_140_ps__independent,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,full_correlated,5,20000,14993,9928,10049,4984,0.74965,0.4964,0.50245,0.2492,0.7435985057734588,0.7556056106237282,-0.0008647527958335952,20274051,idea2_j15_d1.2_140_ps,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,matched_independent,5,20000,14983,9974,9973,4964,0.74915,0.4987,0.49865,0.2482,0.7430946150934532,0.7551096933397898,-0.0019070333969096517,20274052,idea2_j15_d1.2_140_ps__independent,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,full_correlated,7,20000,15033,10026,10037,5030,0.75165,0.5013,0.50185,0.2515,0.7456141752041249,0.7575891730488377,-0.00030962316589875353,20274071,idea2_j15_d1.2_140_ps,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_strong,15.0,1.2,140_ps,0.11833689361410207,matched_independent,7,20000,15015,9949,10054,4988,0.75075,0.49745,0.5027,0.2494,0.744707102786437,0.7566965911314266,-0.0026725337218461193,20274072,idea2_j15_d1.2_140_ps__independent,idea2_j15_d1.2_140_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,full_correlated,3,20000,14889,9920,9888,4919,0.74445,0.496,0.4944,0.24595,0.7383585593669426,0.7504475542052278,0.002910675700575901,20275031,idea2_j15_d1.2_40_ps,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,matched_independent,3,20000,14953,10007,10018,5072,0.74765,0.50035,0.5009,0.2536,0.741583006740356,0.7536218778010554,0.011898762191202719,20275032,idea2_j15_d1.2_40_ps__independent,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,full_correlated,5,20000,15020,9981,9982,4943,0.751,0.49905,0.4991,0.24715,0.7449590638651056,0.7569445340347298,-0.0077034463843039,20275051,idea2_j15_d1.2_40_ps,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,matched_independent,5,20000,14982,10100,9973,5091,0.7491,0.505,0.49865,0.25455,0.7430442266103697,0.7550601010264789,0.010927586222103899,20275052,idea2_j15_d1.2_40_ps__independent,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,full_correlated,7,20000,14977,10048,9949,5020,0.74885,0.5024,0.49745,0.251,0.7427922857884899,0.7548121378663868,0.004324586060477938,20275071,idea2_j15_d1.2_40_ps,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
reference_extreme,15.0,1.2,40_ps,0.6509510296994214,matched_independent,7,20000,14932,10011,9892,4971,0.7466,0.50055,0.4946,0.24855,0.7405249375058288,0.7525803503113005,0.003912110527629017,20275072,idea2_j15_d1.2_40_ps__independent,idea2_j15_d1.2_40_ps__independent,"paired periodic 12-valent six-ring bulk proxy; local XX/ZZ edge semantics exact, cross-component edge pairing approximate"
